序号,一级菜单,二级菜单（模块）,三级菜单（角色）,四级菜单,功能/动作,界面要素\管理对象\几宫格定义\常量基础数据
第一部分：项目详情中的带教管理（4个Tab）,,,,,
1,培训成长,培训管理,项目详情,带教管理,项目中的带教模块入口,Tab切换\带教模块\项目级别管理
2,培训成长,培训管理,项目详情-带教,指派关系Tab,师徒配对和关系管理,师徒配对\关系列表\智能匹配\手动分配\关系状态
3,培训成长,培训管理,项目详情-带教,任务状态Tab,学员任务进度跟踪,任务列表\进度展示\完成状态\任务详情\进度统计
4,培训成长,培训管理,项目详情-带教,带教评价Tab,评价任务管理和执行,评价列表\评价表单\评价统计\评价历史\评价模板
5,培训成长,培训管理,项目详情-带教,带教标准Tab,项目带教标准设置,标准配置\项目类型\标准表格\时间节点\评价标准
第二部分：成长发展中的带教管理（5个Tab）,,,,,
6,培训成长,成长发展,成长管理,带教管理,全公司带教管理模块入口,Tab切换\带教管理\全局管理
7,培训成长,成长发展,成长管理-带教,师徒关系Tab,全公司师徒关系概览管理,关系表格\筛选搜索\状态管理\批量操作\导出功能\关系统计
8,培训成长,成长发展,成长管理-带教,评价管理Tab,评价标准和执行管理,评价标准\评价流程\评价统计\评价分析\标准管理
9,培训成长,成长发展,成长管理-带教,补贴管理Tab,带教补贴计算和发放,补贴计算\工作量统计\发放管理\补贴统计\审批流程
10,培训成长,成长发展,成长管理-带教,师资管理Tab,导师资源和能力管理,导师档案\能力矩阵\资源分配\工作负荷\评级管理
11,培训成长,成长发展,成长管理-带教,认证管理Tab,导师认证和资格管理,认证流程\能力评估\资格审核\证书管理\认证记录
第三部分：带教老师工作台（3个Tab）,,,,,
12,培训成长,工作台,带教老师工作台,工作台首页,带教老师的主工作台概览,数据概览\统计卡片\快捷操作\待办提醒\Tab切换入口
13,培训成长,工作台,带教老师工作台,学员管理Tab,我的学员信息和沟通记录,学员列表\学员详情\沟通记录\学员档案\进度跟踪
14,培训成长,工作台,带教老师工作台,带教执行Tab,带教计划执行和任务管理,计划列表\任务看板\评价处理\作业管理\考试管理\进度管理
15,培训成长,工作台,带教老师工作台,资源工具Tab,带教资源库和工具,资源库\工具箱\经验分享\模板库\参考资料\知识分享